ID,MatchNumber,BattingTeam,player_of_match,WinningTeam,Team1,Team2
1473477,40,Lucknow Super Giants,Mukesh Kumar,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants
1473478,41,Sunrisers Hyderabad,TA Boult,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
1473479,42,Royal Challengers Bengaluru,JR Hazlewood,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473480,43,Chennai Super Kings,HV Patel,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
1473481,44,Punjab Kings,Unknown,Unknown,Punjab Kings,Punjab Kings
1473482,45,Mumbai Indians,WG Jacks,Mumbai Indians,Mumbai Indians,Mumbai Indians
1473483,46,Delhi Capitals,KH Pandya,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals
1473484,47,Gujarat Titans,V Suryavanshi,Rajasthan Royals,Gujarat Titans,Gujarat Titans
1473485,48,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1473486,49,Chennai Super Kings,SS Iyer,Punjab Kings,Chennai Super Kings,Chennai Super Kings
1473487,50,Mumbai Indians,RD Rickelton,Mumbai Indians,Mumbai Indians,Mumbai Indians
1473488,51,Gujarat Titans,M Prasidh Krishna,Gujarat Titans,Gujarat Titans,Gujarat Titans
1473489,52,Royal Challengers Bengaluru,R Shepherd,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473490,53,Kolkata Knight Riders,AD Russell,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1473491,54,Punjab Kings,P Simran Singh,Punjab Kings,Punjab Kings,Punjab Kings
1473492,55,Delhi Capitals,Unknown,Unknown,Delhi Capitals,Delhi Capitals
1473493,56,Mumbai Indians,Shubman Gill,Gujarat Titans,Mumbai Indians,Mumbai Indians
1473494,57,Kolkata Knight Riders,Noor Ahmad,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
1473495,58,Punjab Kings,Unknown,Unknown,Punjab Kings,Punjab Kings
1473497,59,Punjab Kings,Harpreet Brar,Punjab Kings,Punjab Kings,Punjab Kings
1473498,60,Delhi Capitals,B Sai Sudharsan,Gujarat Titans,Delhi Capitals,Delhi Capitals
1473499,61,Lucknow Super Giants,Abhishek Sharma,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants
1473500,62,Chennai Super Kings,Akash Madhwal,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
1473501,63,Mumbai Indians,SA Yadav,Mumbai Indians,Mumbai Indians,Mumbai Indians
1473502,64,Lucknow Super Giants,MR Marsh,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1473503,65,Sunrisers Hyderabad,Ishan Kishan,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1485779,66,Punjab Kings,Sameer Rizvi,Delhi Capitals,Punjab Kings,Punjab Kings
1473504,67,Chennai Super Kings,D Brevis,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1473505,68,Sunrisers Hyderabad,H Klaasen,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1473506,69,Mumbai Indians,JP Inglis,Punjab Kings,Mumbai Indians,Mumbai Indians
1473507,70,Lucknow Super Giants,JM Sharma,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants
1473508,Unknown,Punjab Kings,Suyash Sharma,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
1473509,Unknown,Mumbai Indians,RG Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
1473510,Unknown,Mumbai Indians,SS Iyer,Punjab Kings,Mumbai Indians,Mumbai Indians
1473511,Unknown,Royal Challengers Bengaluru,KH Pandya,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1527674,1,Sunrisers Hyderabad,JA Duffy,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad
1527675,2,Kolkata Knight Riders,SN Thakur,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
1527676,3,Chennai Super Kings,N Burger,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
1527677,4,Gujarat Titans,C Connolly,Punjab Kings,Gujarat Titans,Gujarat Titans
1527678,5,Lucknow Super Giants,Sameer Rizvi,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants
1527679,6,Sunrisers Hyderabad,Nithish Kumar Reddy,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1527680,7,Chennai Super Kings,Priyansh Arya,Punjab Kings,Chennai Super Kings,Chennai Super Kings
1527681,8,Mumbai Indians,Sameer Rizvi,Delhi Capitals,Mumbai Indians,Mumbai Indians
1527682,9,Rajasthan Royals,Ravi Bishnoi,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1527683,10,Sunrisers Hyderabad,Mohammed Shami,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad
1527684,11,Royal Challengers Bengaluru,TH David,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1527685,12,Kolkata Knight Riders,Unknown,Unknown,Kolkata Knight Riders,Kolkata Knight Riders
1527686,13,Rajasthan Royals,YBK Jaiswal,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1527687,14,Gujarat Titans,Rashid Khan,Gujarat Titans,Gujarat Titans,Gujarat Titans
1527688,15,Kolkata Knight Riders,MD Choudhary,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders
1527689,16,Royal Challengers Bengaluru,V Suryavanshi,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1527690,17,Sunrisers Hyderabad,SS Iyer,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1527691,18,Chennai Super Kings,SV Samson,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1527692,19,Lucknow Super Giants,M Prasidh Krishna,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants
1527693,20,Royal Challengers Bengaluru,PD Salt,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1529264,21,Sunrisers Hyderabad,PP Hinge,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1529265,22,Chennai Super Kings,Noor Ahmad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1529266,23,Lucknow Super Giants,JR Hazlewood,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants
1529267,24,Mumbai Indians,Arshdeep Singh,Punjab Kings,Mumbai Indians,Mumbai Indians
